Name,URL,Category,Description,Comment/Reason,Language,Target OS,Author,last_commit,Commits,Branch,Packages,Releases,Watch,Star,Fork,Tags,Has Readme,Readme,Repo Name
Turn a normal PDF file into malicious.Use to steal Net-NTLM Hashes from windows machines.,https://github.com/3gstudent/Worse-PDF.git,,,,"[""Python""]",,3gstudent,"May 10, 2018",,1,0,0,12,176,53,,Yes,,Worse-PDF
,https://github.com/411Hall/JAWS,,,,,,,,,,,,,,,,,,
JAWS - Just Another Windows (Enum) Script,https://github.com/411Hall/JAWS.git,,,,"[""PowerShell""]",,411Hall,"January 30, 2020",,1,0,0,33,611,158,,Yes,,JAWS
,https://github.com/4w4k3/BeeLogger,,,,,,,,,,,,,,,,,,
,https://github.com/649/Memcrashed-DDoS-Exploit,,,,,,,,,,,,,,,,,,
Pafish is a demonstration tool that employs several techniques to detect sandboxes and analysis environments in the same way as malware families do.,https://github.com/a0rtega/pafish.git,,,,"[""C"",""C++""]",,a0rtega,"February 19, 2019",,2,0,16,157,1.3k,283,"malware, reverse-engineering, virtual-machine, malware-families, analysis-environments, sandbox",Yes,,pafish
��Proof-of-Concept for CVE-2018-7600 Drupal SA-CORE-2018-002,https://github.com/a2u/CVE-2018-7600.git,,,,"[""Python""]",,a2u,"March 29, 2019",,1,0,0,84,322,112,"poc, drupalgeddon2, exploit, drupal, cve-2018-7600, sa-core-2018-002",Yes,,CVE-2018-7600
Credentials gathering tool automating remote procdump and parse of lsass process.,https://github.com/aas-n/spraykatz.git,,,,"[""Python""]",,aas-n,,,1,0,4,13,363,59,"procdump, pypykatz, lsass, mimikatz, credentials, minidump, spray, love",Yes,,spraykatz
"Windows exploits, mostly precompiled. Not being updated. Check https://github.com/SecWiki/windows-kernel-exploits instead.",https://github.com/abatchy17/WindowsExploits.git,,,,"[""Python"",""C"",""C++""]",,abatchy17,"May 21, 2017",,1,0,0,70,1k,454,"exploit, windows, compiled",Yes,,WindowsExploits
Fast subdomains enumeration tool for penetration testers,https://github.com/aboul3la/Sublist3r.git,,,,"[""Python""]",,aboul3la,"January 5, 2020",,1,0,0,180,4.4k,1.1k,,Yes,,Sublist3r
Python automation of Docker.sock abuse,https://github.com/AbsoZed/DockerPwn.py.git,,,,"[""Python""]",,AbsoZed,"December 11, 2019",,1,0,3,7,189,20,"docker, paramiko, linux, python3, python",Yes,,DockerPwn.py
Crypto tool for pentest and ctf : try to uncipher data using multiple algorithms and block chaining modes. Usefull for a quick check on unknown cipher text and key dictionnary,https://github.com/Acceis/crypto_identifier.git,,,,"[""Python""]",,Acceis,"January 4, 2018",,1,0,0,7,106,16,,Yes,,crypto_identifier
PowerShell wrapper around Python for .NET to invoke Python from PowerShell,https://github.com/adamdriscoll/snek.git,,,,"[""PowerShell""]",,adamdriscoll,,,1,0,0,9,92,6,,Yes,,snek
,https://github.com/adamtlangley/gitscraper,,,,,,,,,,,,,,,,,,
,https://github.com/adi0x90/attifyos,,,,,,,,,,,,,,,,,,
,https://github.com/adon90/pentest_compilation,,,,,,,,,,,,,,,,,,
A python reverse shell that uses DNS as the c2 channel,https://github.com/ahhh/Reverse_DNS_Shell.git,,,,"[""Python""]",,ahhh,,,1,0,0,29,387,152,,Yes,,Reverse_DNS_Shell
Android Remote Administration Tool,https://github.com/AhMyth/AhMyth-Android-RAT.git,,,,"[""Smali"",""JavaScript"",""Other""]",,AhMyth,"June 10, 2019",,2,0,0,210,1.8k,899,"android-rat, ahmyth-rat, ahmyth, android, electron-app",Yes,,AhMyth-Android-RAT
,https://github.com/airbus-seclab/ilo4_toolbox,,,,,,,,,,,,,,,,,,
Angular and Cordova / Phonegap powered hybrid mobile application (puzzle game),https://github.com/akveo/digitsquare.git,,,,"[""C#"",""JavaScript"",""Objective-C"",""HTML"",""Java"",""CSS"",""Other""]",,akveo,"March 30, 2016",,1,0,0,13,41,16,,Yes,,digitsquare
,https://github.com/alebcay/awesome-shell,,,,,,,,,,,,,,,,,,
,https://github.com/aleenzz/Cobalt_Strike_wiki,,,,,,,,,,,,,,,,,,
Privilege Escalation Project - Windows / Linux / Mac,https://github.com/AlessandroZ/BeRoot.git,,,,"[""Python"",""C++"",""C""]",,AlessandroZ,"September 25, 2019",,1,0,2,90,1.3k,343,,Yes,,BeRoot
Credentials recovery project,https://github.com/AlessandroZ/LaZagne.git,,,,"[""Python""]",,AlessandroZ,"January 8, 2020",,1,0,19,381,5.1k,1.4k,,Yes,,LaZagne
Windows passwords decryption from dump files,https://github.com/AlessandroZ/LaZagneForensic.git,,,,"[""Python"",""PowerShell""]",,AlessandroZ,"January 23, 2019",,1,0,0,26,351,88,,Yes,,LaZagneForensic
,https://github.com/alexxy/netdiscover,,,,,,,,,,,,,,,,,,
File upload vulnerability scanner and exploitation tool.,https://github.com/almandin/fuxploider.git,,,,"[""Python"",""Dockerfile"",""Other""]",,almandin,"June 12, 2019",,2,0,3,44,1.4k,246,"python3, pentesting, exploitation, takeover, vulnerability-scanner, detection",Yes,,fuxploider
A utility to generate malicious network traffic and evaluate controls,https://github.com/alphasoc/flightsim.git,,,,"[""Go""]",,alphasoc,"January 24, 2020",,7,0,10,24,421,70,"security, testing-tools, monitoring, intrusion-detection",Yes,,flightsim
Implement WSUSpendu attack,https://github.com/AlsidOfficial/WSUSpendu.git,,,,"[""PowerShell""]",,AlsidOfficial,"June 9, 2019",,1,0,0,13,166,31,"pentest, wsus, airgap",Yes,,WSUSpendu
,https://github.com/am0nsec/HellsGate,,,,,,,,,,,,,,,,,,
,https://github.com/am0nsec/SharpHellsGate,,,,,,,,,,,,,,,,,,
"PHPGGC is a library of PHP unserialize() payloads along with a tool to generate them, from command line or programmatically.",https://github.com/ambionics/phpggc.git,,,,"[""PHP""]",,ambionics,,,1,0,0,32,984,189,,Yes,,phpggc
Powershell-based Windows Security Auditing Toolbox,https://github.com/A-mIn3/WINspect.git,,,,"[""PowerShell""]",,A-mIn3,"January 9, 2019",,1,0,0,56,527,106,,Yes,,WINspect
CVE-2018-4878 样本,https://github.com/anbai-inc/CVE-2018-4878.git,,,,"[""Python"",""HTML""]",,anbai-inc,,,1,0,0,5,110,49,,Yes,,CVE-2018-4878
,https://github.com/andresriancho/w3af,,,,,,,,,,,,,,,,,,
,https://github.com/andrew-d/static-binaries,,,,,,,,,,,,,,,,,,
,https://github.com/andrewjkerr/security-cheatsheets,,,,,,,,,,,,,,,,,,
"A standalone python script which utilizes python's built-in modules to enumerate SUID binaries, separate default binaries from custom binaries, cross-match those with bins in GTFO Bin's repository & auto-exploit those, all with colors! ( ͡~ ͜ʖ ͡°)",https://github.com/Anon-Exploiter/SUID3NUM.git,,,,"[""Python"",""Mercury""]",,Anon-Exploiter,,,1,0,0,3,83,13,"python, python-3, gtfo-bin, auto-exploitation, standalone-python-script, suid-binaries, suid, suid3num, privilege-escalation, exploitation",Yes,,SUID3NUM
Active Directory Control Paths auditing and graphing tools,https://github.com/ANSSI-FR/AD-control-paths.git,,,,"[""C"",""PowerShell"",""Batchfile""]",,ANSSI-FR,"January 7, 2020",,1,0,8,60,434,71,,Yes,,AD-control-paths
"Generic graph exploration, manipulation and visualization tool (Outil de Visualisation et Analyse de Liens Inter-objets)",https://github.com/ANSSI-FR/OVALI.git,,,,"[""JavaScript"",""CSS"",""HTML""]",,ANSSI-FR,,,1,0,0,9,28,14,,Yes,,OVALI
,https://github.com/antirez/hping,,,,,,,,,,,,,,,,,,
,https://github.com/antonioCoco/Mapping-Injection,,,,,,,,,,,,,,,,,,
,https://github.com/antonioCoco/RoguePotato,,,,,,,,,,,,,,,,,,
,https://github.com/antonioCoco/RogueWinRM,,,,,,,,,,,,,,,,,,
,https://github.com/antonioCoco/RunasCs,,,,,,,,,,,,,,,,,,
SharPyShell - tiny and obfuscated ASP.NET webshell for C# web applications,https://github.com/antonioCoco/SharPyShell.git,,,,"[""Python"",""ASP"",""C#""]",,antonioCoco,"March 26, 2019",,1,0,2,10,259,46,"webshell, aspnet, csharp, obfuscation, encryption",Yes,,SharPyShell
Living Off The Land Binaries And Scripts - (LOLBins and LOLScripts),https://github.com/api0cradle/LOLBAS.git,,,,"[""XSLT""]",,api0cradle,"December 10, 2018",,1,0,0,138,1.4k,318,"lolbins, lolscripts, redteam, blueteam, purpleteam, dfir, living-off-the-land",Yes,,LOLBAS
The goal of this repository is to document the most common techniques to bypass AppLocker.,https://github.com/api0cradle/UltimateAppLockerByPassList.git,,,,"[""PowerShell""]",,api0cradle,"January 28, 2020",,2,0,0,96,954,235,"applocker, bypass, awl, rules, redteam, blueteam, purpleteam",Yes,,UltimateAppLockerByPassList
appsecco/the-art-of-subdomain-enumeration,https://github.com/appsecco/the-art-of-subdomain-enumeration,,"This repository contains all the supplement material for the book ""The art of sub-domain enumeration""",Read the cheatsheet and book,,,,,,,,,,,,,,,
,https://github.com/apsdehal/awesome-ctf,,,,,,,,,,,,,,,,,,
Penetration Testing tools - one repo to clone them all... containing latest pen testing tools,https://github.com/Aptive/penetration-testing-tools.git,,,,[],,Aptive,,,1,0,0,36,456,167,,Yes,,penetration-testing-tools
aptnotes/data: APTnotes data,https://github.com/aptnotes/data,Educational,Notes on APT Groups,"Look at the JSON file, has good links on reading TTP ",,,,,,,,,,,,,,,
APTnotes data,https://github.com/aptnotes/data.git,,,,[],,aptnotes,"December 24, 2019",,1,0,0,199,922,180,"apt, malware, analysis",Yes,,data
Web Application Security Scanner Framework,https://github.com/Arachni/arachni.git,,,,"[""Ruby"",""JavaScript"",""HTML"",""Other""]",,Arachni,"January 28, 2020",,2,0,41,198,2.7k,599,"arachni, dom, ruby, audit, detection, security-audit, analysis, modular, javascript, scanners, web-application, vulnerability-detection, crawler, scanner, hack, hacking, penetration-testing, xss, sql-injection",Yes,,arachni
SQLMap Cheatsheet v1.0 for sqlmap 1.0-dev-a72d738,https://github.com/aramosf/sqlmap-cheatsheet.git,,,,[],,aramosf,,,1,0,0,12,43,24,,Yes,,sqlmap-cheatsheet
Centralize Vulnerability Assessment and Management for DevSecOps Team,https://github.com/archerysec/archerysec.git,,,,"[""JavaScript"",""HTML"",""Python"",""CSS"",""Lua"",""Shell"",""Other""]",,archerysec,"February 9, 2020",,8,0,6,80,1.3k,317,"vulnerability-assessment, vulnerabilities, scanning, pentesting, vulnerability-management, opensource, pentesters, secdevops, devops, devops-tools, devsecops",Yes,,archerysec
"The LAZY script will make your life easier, and of course faster.",https://github.com/arismelachroinos/lscript.git,,,,"[""Shell""]",,arismelachroinos,"January 23, 2020",,1,0,0,212,2k,661,"kali-scripts, kali-linux, shell-script, payload-generator, payload, wifi-testing, penetration-testing, pentesting, pentest-tool, wifi-password, wpa2-handshake, wpa-cracker, pixie-dust, metasploit-framework, eternalblue-doublepulsar-metasploit, wifiphisher, antivirus-evasion, bypass-av, bypass-antivirus, sqlinjection",Yes,,lscript
https://git.torproject.org/pluggable-transports/meek.git,https://github.com/arlolra/meek.git,,,,"[""Go"",""JavaScript"",""PHP""]",,arlolra,,,1,0,0,4,69,20,,No,,meek
Data exfiltration over DNS request covert channel,https://github.com/Arno0x/DNSExfiltrator.git,,,,"[""JavaScript"",""C#"",""PowerShell"",""Python""]",,Arno0x,"April 5, 2018",,1,0,0,23,332,91,,No,,DNSExfiltrator
Embed and hide any file in an HTML file,https://github.com/Arno0x/EmbedInHTML.git,,,,"[""HTML"",""Smarty"",""Python""]",,Arno0x,"September 27, 2017",,1,0,0,19,256,78,,No,,EmbedInHTML
,https://github.com/Arno0x/PowerShellScripts,,,,,,,,,,,,,,,,,,
Collection of PowerShell scripts,https://github.com/Arno0x/PowerShellScripts.git,,,,"[""PowerShell""]",,Arno0x,"December 18, 2017",,1,0,0,25,343,106,,No,,PowerShellScripts
,https://github.com/Arno0x/ShellcodeWrapper,,,,,,,,,,,,,,,,,,
A WebDAV PROPFIND C2 tool,https://github.com/Arno0x/WebDavC2.git,,,,"[""Python"",""Smarty"",""C#""]",,Arno0x,,,1,0,0,10,98,38,,No,,WebDavC2
A WebSocket C2 Tool,https://github.com/Arno0x/WSC2.git,,,,"[""Python"",""Smarty"",""C#"",""HTML""]",,Arno0x,"November 24, 2017",,1,0,0,23,249,62,,No,,WSC2
"SSH server auditing (banner, key exchange, encryption, mac, compression, compatibility, security, etc)",https://github.com/arthepsy/ssh-audit.git,,,,"[""Python"",""Shell""]",,arthepsy,"November 2, 2016",,2,0,3,124,2.5k,231,,Yes,,ssh-audit
"Sandbox evasion modules written in PowerShell, Python, Go, Ruby, C, C#, Perl, and Rust.",https://github.com/Arvanaghi/CheckPlease.git,,,,"[""Go"",""Rust"",""Python"",""PowerShell"",""Ruby"",""C"",""Other""]",,Arvanaghi,"December 4, 2019",,1,0,0,28,481,75,,Yes,,CheckPlease
"SessionGopher is a PowerShell tool that uses WMI to extract saved session information for remote access tools such as WinSCP, PuTTY, SuperPuTTY, FileZilla, and Microsoft Remote Desktop. It can be run remotely or locally.",https://github.com/Arvanaghi/SessionGopher.git,,,,"[""PowerShell""]",,Arvanaghi,"November 29, 2018",,1,0,0,42,707,127,"pentesting, red-team, windows, registry, powershell, artifacts",Yes,,SessionGopher
,https://github.com/ascribe/image-match,,,,,,,,,,,,,,,,,,
,https://github.com/ashishb/android-security-awesome,,,,,,,,,,,,,,,,,,
,https://github.com/ashishb/osx-and-ios-security-awesome,,,,,,,,,,,,,,,,,,
Library of sites for categorization,https://github.com/audrummer15/cat-sites.git,,,,"[""Roff"",""CSS"",""HTML"",""Other""]",,audrummer15,,,1,0,0,1,4,2,,Yes,,cat-sites
RetDec is a retargetable machine-code decompiler based on LLVM.,https://github.com/avast/retdec.git,,,,"[""C++"",""YARA"",""Python"",""CMake"",""C"",""Shell""]",,avast,"February 17, 2020",,10,0,4,246,5.2k,606,,Yes,,retdec
Scripts I use during pentest engagements.,https://github.com/averagesecurityguy/scripts.git,,,,"[""Python"",""Go"",""Ruby"",""HTML"",""Shell"",""C"",""JavaScript""]",,averagesecurityguy,,,1,0,0,96,745,280,"penetration-testing, hacking, tools",Yes,,scripts
,https://github.com/b3mb4m/shellsploit-framework,,,,,,,,,,,,,,,,,,
Local Privilege Escalation,https://github.com/b3rito/yodo.git,,,,"[""Shell""]",,b3rito,,,1,0,0,10,191,31,"privilege-escalation, local-privilege-escalation, linux",Yes,,yodo
Evading WinDefender ATP credential-theft,https://github.com/b4rtik/ATPMiniDump.git,,,,"[""C""]",,b4rtik,"December 2, 2019",,1,0,0,5,120,25,,Yes,,ATPMiniDump
,https://github.com/b4rtik/SharpMiniDump,,,,,,,,,,,,,,,,,,
MouseJack device discovery and research tools,https://github.com/BastilleResearch/mousejack.git,,,,[],,BastilleResearch,"August 7, 2016",,1,0,0,99,899,208,,No,,mousejack
,https://github.com/bats3c/darkarmour,,,,,,,,,,,,,,,,,,
,https://github.com/bats3c/Ghost-In-The-Logs,,,,,,,,,,,,,,,,,,
,https://github.com/bats3c/shad0w,,,,,,,,,,,,,,,,,,
,https://github.com/bayandin/awesome-awesomeness,,,,,,,,,,,,,,,,,,
Empire 3.0 is a PowerShell and Python 3.x post-exploitation framework.,https://github.com/BC-SECURITY/Empire.git,,,,"[""PowerShell"",""Python"",""Shell"",""Objective-C"",""PHP"",""C""]",,BC-SECURITY,"February 6, 2020",,12,0,23,25,598,1.8k,"empire, c2, redteam-infrastructure",Yes,,Empire
The Browser Exploitation Framework Project,https://github.com/beefproject/beef.git,,,,"[""JavaScript"",""Ruby"",""CSS"",""HTML"",""Assembly"",""ActionScript"",""Other""]",,beefproject,"February 11, 2020",,32,0,29,370,4.8k,1.1k,,Yes,,beef
,https://github.com/BeichenDream/BadPotato,,,,,,,,,,,,,,,,,,
Search Exploitable Software on Linux,https://github.com/belane/linux-soft-exploit-suggester.git,,,,"[""Python""]",,belane,,,1,0,0,9,172,36,"pentest, linux, elevate, software, vulnerabilities, hacking-tool",Yes,,linux-soft-exploit-suggester
Not PowerShell,https://github.com/Ben0xA/nps.git,,,,"[""C#"",""PowerShell""]",,Ben0xA,"September 24, 2016",,1,0,0,32,340,78,,Yes,,nps
Some PowerShell Defensive Scripts,https://github.com/Ben0xA/PowerShellDefense.git,,,,"[""PowerShell""]",,Ben0xA,"June 12, 2016",,1,0,0,13,106,18,,Yes,,PowerShellDefense
berzerk0's GitHub Page,https://github.com/berzerk0/GitPage.git,,,,[],,berzerk0,"February 12, 2018",,2,0,0,5,27,4,,Yes,,GitPage
Version 2 is live! Wordlists sorted by probability originally created for password generation and testing - make sure your passwords aren't popular!,https://github.com/berzerk0/Probable-Wordlists.git,,,,[],,berzerk0,"December 4, 2019",,2,0,4,349,6.2k,1.2k,"wordlist, password, password-strength, password-safety, dictionary-attack, dictionary",Yes,,Probable-Wordlists
netshell features all in version 2 powershell,https://github.com/besimorhino/powercat.git,,,,"[""PowerShell""]",,besimorhino,"August 5, 2017",,1,0,0,77,864,223,,Yes,,powercat
"The Swiss Army knife for 802.11, BLE and Ethernet networks reconnaissance and MITM attacks.",https://github.com/bettercap/bettercap.git,,,,"[""Go"",""Other""]",,bettercap,"February 20, 2020",,7,0,37,274,6.9k,676,"password-sniffer, mitm, rogue-ap, wifi, hacking, security, spoofing, proxy, wifi-security, deauthentication-attack, dot11, network-attacks, monitoring, pmkid, wpa2, redteam, ble, mousejack, hid, redteaming",Yes,,bettercap
Exploit toolkit CVE-2017-0199 - v4.0 is a handy python script which provides pentesters and security researchers a quick and effective way to test Microsoft Office RCE. It could generate a malicious RTF/PPSX file and deliver metasploit / meterpreter / other payload to victim without any complex configuration.,https://github.com/bhdresh/CVE-2017-0199.git,,,,"[""Python""]",,bhdresh,"November 19, 2017",,7,0,8,46,612,273,,Yes,,CVE-2017-0199
Exploit toolkit CVE-2017-8759 - v1.0 is a handy python script which provides pentesters and security researchers a quick and effective way to test Microsoft .NET Framework RCE. It could generate a malicious RTF file and deliver metasploit / meterpreter / other payload to victim without any complex configuration.,https://github.com/bhdresh/CVE-2017-8759.git,,,,"[""Python""]",,bhdresh,,,1,0,0,21,302,123,,Yes,,CVE-2017-8759
This is a collection of social engineering tricks and payloads being used for credential theft and spear phishing attacks.,https://github.com/bhdresh/SocialEngineeringPayloads.git,,,,"[""CSS"",""JavaScript"",""HTML"",""Other""]",,bhdresh,"November 21, 2017",,1,0,0,19,191,61,,Yes,,SocialEngineeringPayloads
,https://github.com/BinaryScary/NET-Obfuscate,,,,,,,,,,,,,,,,,,
,https://github.com/BishopFox/GadgetProbe,,,,,,,,,,,,,,,,,,
,https://github.com/BishopFox/rmiscout,,,,,,,,,,,,,,,,,,
Implant framework,https://github.com/BishopFox/sliver.git,,,,"[""Go"",""Other""]",,BishopFox,"February 13, 2020",,39,0,5,48,848,100,"security-tools, implant, golang, dns-server, http, c2, command-and-control, red-team, red-teaming, red-team-engagement",Yes,,sliver
Simple script that checks a domain for email protections,https://github.com/BishopFox/spoofcheck.git,,,,"[""Python""]",,BishopFox,,,1,0,0,58,332,76,"security-tools, spf, dmarc-record, python, email-security, phishing",Yes,,spoofcheck
,https://github.com/bitsadmin/fakelogonscreen,,,,,,,,,,,,,,,,,,
PowerShell rebuilt in C# for Red Teaming purposes,https://github.com/bitsadmin/nopowershell.git,,,,"[""C#"",""Batchfile""]",,bitsadmin,,,2,0,7,14,408,69,"powershell, redteaming, cobaltstrike",Yes,,nopowershell
Windows Exploit Suggester - Next Generation,https://github.com/bitsadmin/wesng.git,,,,"[""Python"",""PowerShell"",""VBScript""]",,bitsadmin,"February 21, 2020",,1,0,0,58,1.6k,237,"microsoft, windows, exploit, suggester, patches, updates",Yes,,wesng
This repository was created and developed by Ammar Amer @cry__pto Only. Updates to this repository will continue to arrive until the number of links reaches 10000 links & 10000 pdf files .Learn Ethical Hacking and penetration testing .hundreds of ethical hacking & penetration testing & red team & cyber security & computer science resources.,https://github.com/blaCCkHatHacEEkr/PENTESTING-BIBLE.git,,,,[],,blaCCkHatHacEEkr,"December 13, 2019",,1,0,0,287,4k,773,"pentesting, resources, redteam, hacking, osint, osint-resources, malware-analysis, hacking-tool, windows, linux, kali-linux, awesome-list, awesome, csrf, xxe, sql-injection, bugbounty, malware, dork, information-gathering",Yes,,PENTESTING-BIBLE
,https://github.com/blackarrowsec/mssqlproxy,,,,,,,,,,,,,,,,,,
Spawn to shell without any credentials by using CVE-2018-10933 (LibSSH),https://github.com/blacknbunny/CVE-2018-10933.git,,,,"[""Python""]",,blacknbunny,"January 29, 2020",,1,0,0,23,462,117,,Yes,,CVE-2018-10933
,https://github.com/blacknbunny/libSSH-Authentication-Bypass,,,,,,,,,,,,,,,,,,
Tool for extracting information from newly spawned processes,https://github.com/blendin/3snake.git,,,,"[""C"",""Makefile"",""C++""]",,blendin,,,1,0,0,16,350,62,,Yes,,3snake
Six Degrees of Domain Admin,https://github.com/BloodHoundAD/BloodHound.git,,,,"[""PowerShell"",""JavaScript"",""CSS"",""Other""]",,BloodHoundAD,"February 20, 2020",,2,0,24,326,3.9k,741,,Yes,,BloodHound
The BloodHound C# Ingestor,https://github.com/BloodHoundAD/SharpHound.git,,,,"[""C#"",""PowerShell""]",,BloodHoundAD,"February 12, 2020",,1,0,0,35,423,101,"bloodhound, activedirectory, csharp, pentesting-windows",Yes,,SharpHound
,https://github.com/BloodHoundAD/SharpHound3,,,,,,,,,,,,,,,,,,
Aggressor scripts for use with Cobalt Strike 3.0+,https://github.com/bluscreenofjeff/AggressorScripts.git,,,,[],,bluscreenofjeff,"May 30, 2018",,1,0,0,32,378,116,"red-team, beacon, cobalt-strike, aggressor-scripts, ccdc, cna",Yes,,AggressorScripts
A script to randomize Cobalt Strike Malleable C2 profiles and reduce the chances of flagging signature-based detection controls,https://github.com/bluscreenofjeff/Malleable-C2-Randomizer.git,,,,"[""Python""]",,bluscreenofjeff,,,1,0,0,11,217,58,,Yes,,Malleable-C2-Randomizer
Wiki to collect Red Team infrastructure hardening resources,https://github.com/bluscreenofjeff/Red-Team-Infrastructure-Wiki.git,,,,[],,bluscreenofjeff,,,1,0,0,186,2.2k,564,"infrastructure, redirector, cobalt-strike, empire, red-team, pentesting",Yes,,Red-Team-Infrastructure-Wiki
